source_id,university_name,list_url,prior_error_bucket,probe_cluster,probe_root_cause,probe_confidence,probe_evidence,crawl_final_status,crawl_reason_code,crawled_count,matched_count,enabled,outcome,outcome_confidence,outcome_detail
ou_12_univ_001,동국대학교,https://scholarship.dongguk.edu/article/notice/list,empty_observed,onclick_post_event_url,onclick_javascript,confirmed,http=200; final_url=https://scholarship.dongguk.edu/article/notice/list; size=83829; anchors=92; candidates=0; selector_matches=16; patterns=javascript:|hash_only; cms=unknown; onclicks=5; iframe=false; js=false; login=false; empty=false,success,success,13,13,true,recovered_with_items,confirmed,crawled=13; matched=13
ou_2292_univ_001,동덕여자대학교,https://www.dongduk.ac.kr/www/contents/kor-noti.do?gotoMenuNo=kor-noti,empty_observed,onclick_post_event_url,detail_url_resolution_failed,high,http=200; final_url=https://www.dongduk.ac.kr/www/contents/kor-noti.do?gotoMenuNo=kor-noti; size=96235; anchors=386; candidates=17; selector_matches=0; patterns=javascript:|hash_only; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=true,empty_observed,empty_observed,0,0,true,still_unresolved,high,finalStatus=empty_observed; reason=empty_observed; root=detail_url_resolution_failed; cluster=onclick_post_event_url
ou_2355_univ_001,루터대학교,http://english.ltu.ac.kr/Board/bbs.list.php?bid=Notice,attempt_timeout,invalid_list_url,not_a_notice_list,medium,http=200; final_url=http://english.ltu.ac.kr/Board/bbs.list.php?bid=Notice; size=135; anchors=0; candidates=0; selector_matches=0; patterns=none; cms=unknown; onclicks=0; iframe=false; js=false; login=false; empty=false,empty_observed,empty_observed,0,0,true,replacement_source_not_found,high,Configured English notice URL is invalid/dead (invalid_list_url; hosts resolve to 404 parking). Official Korean central scholarship board URL not confirmed this pass — not enough evidence to claim verified absence.
ou_2401_univ_001,부산가톨릭대학교,https://www.cup.ac.kr/entrance/home/front/board/List294.do,empty_observed,invalid_list_url,not_a_notice_list,medium,http=200; final_url=https://www.cup.ac.kr/entrance/home/front/board/List294.do; size=1681; anchors=1; candidates=0; selector_matches=2; patterns=javascript:; cms=unknown; onclicks=0; iframe=false; js=false; login=false; empty=false,success,success,13,13,true,recovered_with_items,confirmed,crawled=13; matched=13
ou_2468_univ_001,상지대학교,https://www.sangji.ac.kr/prog/bbsArticle/BBSMSTR_000000000042/list.do,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.sangji.ac.kr/prog/bbsArticle/BBSMSTR_000000000042/list.do; size=439868; anchors=476; candidates=11; selector_matches=13; patterns=view.do|nttId=|hash_only; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false,success,success,11,11,true,recovered_with_items,confirmed,crawled=11; matched=11
ou_2515_univ_001,서울교육대학교,https://www.snue.ac.kr/snue/na/ntt/selectNttList.do?bbsId=1083&mi=3004,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.snue.ac.kr/snue/na/ntt/selectNttList.do?bbsId=1083&mi=3004; size=89134; anchors=258; candidates=75; selector_matches=16; patterns=view.do|javascript:|hash_only; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false,success,success,11,11,true,recovered_with_items,confirmed,crawled=11; matched=11
ou_10_univ_001,서울시립대학교,https://scholarship.uos.ac.kr/scholarship/main.do?identified=anonymous,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://scholarship.uos.ac.kr/scholarship/main.do?identified=anonymous; size=37140; anchors=111; candidates=8; selector_matches=6; patterns=hash_only; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false,success,success,7,0,true,recovered_with_items,confirmed,crawled=7; matched=0
ou_2579_univ_001,서울장신대학교,https://www.sjs.ac.kr/ht_ml/w_03ed/3010.php,network_error,tls_network_timeout,network_dns_or_tls_failure,high,fetch_error=fetch failed,network_error,network_error,0,0,true,temporarily_unavailable,high,fetch_error=fetch failed; fetch_error=fetch failed
ou_2700_univ_001,세한대학교,https://house.sehan.ac.kr/main/board/janghakList1.do?sub_node=1_2,empty_observed,http_403_waf,login_required,confirmed,http=200; final_url=https://house.sehan.ac.kr/main/board/janghakList1.do?sub_node=1_2; size=45235; anchors=283; candidates=0; selector_matches=3; patterns=hash_only; cms=portal_or_login; onclicks=2; iframe=false; js=false; login=true; empty=false,empty_observed,empty_observed,0,0,true,verified_external_block,confirmed,http=200; final_url=https://house.sehan.ac.kr/main/board/janghakList1.do?sub_node=1_2; size=45235; anchors=283; candidates=0; selector_matches=3; patterns=hash_only; cms=portal_or_login; onclicks=2; iframe=false; js=false; login=true; empty=false
ou_2791_univ_001,아신대학교,https://www.acts.ac.kr/modules/board/bd_list.asp?id=board_notice05&left=unilife4_1,attempt_timeout,onclick_post_event_url,detail_url_resolution_failed,high,http=200; final_url=https://www.acts.ac.kr/modules/board/bd_list.asp?id=board_notice05&left=unilife4_1; size=69635; anchors=217; candidates=4; selector_matches=0; patterns=hash_only|javascript:|uid=; cms=portal_or_login; onclicks=0; iframe=false; js=false; login=true; empty=false,timeout,attempt_timeout,0,0,true,temporarily_unavailable,high,fetch_error=attempt_timeout; http=200; final_url=https://www.acts.ac.kr/modules/board/bd_list.asp?id=board_notice05&left=unilife4_1; size=69635; anchors=217; candidates=4; selector_matches=0; patterns=hash_only|javascript:|uid=; cms=portal_or_login; onclicks=0; iframe=false; js=false; login=true; empty=false
ou_2909_univ_001,용인대학교,https://yongin.ac.kr/cmn/board/SYSTEM_DEFAULT000001/scholarList.do,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://yongin.ac.kr/cmn/board/SYSTEM_DEFAULT000001/scholarList.do; size=86186; anchors=253; candidates=3; selector_matches=22; patterns=hash_only|javascript:|view.do; cms=portal_or_login; onclicks=5; iframe=true; js=false; login=true; empty=false,success,success,9,9,true,recovered_with_items,confirmed,crawled=9; matched=9
ou_2981_univ_001,을지대학교,https://www.eulji.ac.kr/?menuno=4005,network_error,tls_network_timeout,network_dns_or_tls_failure,high,fetch_error=fetch failed,network_error,network_error,0,0,true,temporarily_unavailable,high,fetch_error=fetch failed; fetch_error=fetch failed
