source_id,source_name,university_name,list_url,base_url,org_unit_id,university_slug,initial_error_bucket,latest_error_bucket,observed_count,matched_count,runtime_status,existing_parser_strategy,existing_notice_url_pattern,existing_list_item_selector,existing_link_selector,notes,prior_root_cause_category
ou_2515_univ_001,서울교육대학교 장학공지,서울교육대학교,https://www.snue.ac.kr/snue/na/ntt/selectNttList.do?bbsId=1083&mi=3004,https://www.snue.ac.kr,2515,ou_2515,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | 교육지원>장학제도>공지사항,onclick_event_url_required
ou_10_univ_001,서울시립대학교 장학공지,서울시립대학교,https://scholarship.uos.ac.kr/scholarship/main.do?identified=anonymous,https://scholarship.uos.ac.kr,10,ou_10,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=medium | 장학 포털 메인에 공지 노출. 전용 list는 세션 의존으로 보임,onclick_event_url_required
ou_2579_univ_001,서울장신대학교 장학공지,서울장신대학교,https://www.sjs.ac.kr/ht_ml/w_03ed/3010.php,https://www.sjs.ac.kr,2579,ou_2579,network_error,network_error,0,0,network_error,generic_html,,,a[href],confidence=medium | 일반 공지(학생성장지원처 장학 공지 포함). 전용 장학보드 미확인,network_dns_or_tls_failure
ou_2700_univ_001,세한대학교 장학공지,세한대학교,https://house.sehan.ac.kr/main/board/janghakList1.do?sub_node=1_2,https://house.sehan.ac.kr,2700,ou_2700,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | 호등광장 장학공지 전용 게시판,onclick_event_url_required
ou_2791_univ_001,아신대학교 장학공지,아신대학교,https://www.acts.ac.kr/modules/board/bd_list.asp?id=board_notice05&left=unilife4_1,https://www.acts.ac.kr,2791,ou_2791,attempt_timeout,attempt_timeout,0,0,timeout,generic_html,,,a[href],confidence=high | 공지사항(장학) 전용 게시판,timeout
ou_2909_univ_001,용인대학교 장학공지,용인대학교,https://yongin.ac.kr/cmn/board/SYSTEM_DEFAULT000001/scholarList.do,https://yongin.ac.kr,2909,ou_2909,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | 장학 공지 전용 게시판,onclick_event_url_required
ou_2981_univ_001,을지대학교 장학공지,을지대학교,https://www.eulji.ac.kr/?menuno=4005,https://www.eulji.ac.kr,2981,ou_2981,network_error,network_error,0,0,network_error,generic_html,,,a[href],confidence=high | 공지사항-장학,network_dns_or_tls_failure
ou_3003_univ_001,인제대학교 장학공지,인제대학교,https://www.inje.ac.kr/kor/Template/Bsub_page.asp?Ltype=5&Ltype2=0&Ltype3=0&Tname=S_News&Ldir=board/S_News&Lpage=Tboard_L&div=10&d1n=5&d2n=1&d3n=6&d4n=0,https://www.inje.ac.kr,3003,ou_3003,network_error,network_error,0,0,network_error,generic_html,,,a[href],confidence=medium | 인제소식 > 장학 카테고리 목록(상세글 breadcrumb 기준),network_dns_or_tls_failure
ou_3064_univ_001,전북대학교 장학공지,전북대학교,https://www.jbnu.ac.kr/web/news/notice/sub01.do,https://www.jbnu.ac.kr,3064,ou_3064,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=medium | 교내공지 통합 게시판(#장학 태그 공지 혼재),onclick_event_url_required
ou_8_univ_001,중앙대학교 장학공지,중앙대학교,https://www.cau.ac.kr/cms/FR_CON/index.do?MENU_ID=100&CONTENTS_NO=5&P_TAB_NO=5,https://www.cau.ac.kr,8,ou_8,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | notice_sources,list_selector_mismatch
ou_3187_univ_001,창신대학교 장학공지,창신대학교,https://www.cs.ac.kr/board/board_community1?category_id=5,https://www.cs.ac.kr,3187,ou_3187,network_error,network_error,0,0,network_error,generic_html,,,a[href],confidence=high | 공지사항 > 장학 카테고리 필터,network_dns_or_tls_failure
ou_3198_univ_001,청주교육대학교 장학공지,청주교육대학교,https://www.cje.ac.kr/web/board/brdList.do?menu_cd=000219,https://www.cje.ac.kr,3198,ou_3198,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),,a[href],confidence=high | 전용 장학공지,list_selector_mismatch
ou_3209_univ_001,초당대학교 장학공지,초당대학교,https://dream.cdu.ac.kr/mod/board/list.do?MID=DRM_B05010100,https://dream.cdu.ac.kr,3209,ou_3209,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | 초당 장학안내 사이트 공지사항,detail_url_resolution_failed
ou_3229_univ_001,충남대학교 장학공지,충남대학교,https://plus.cnu.ac.kr/_prog/_board/?code=sub07_0713,https://plus.cnu.ac.kr,3229,ou_3229,partial,partial,12,0,partial,generic_html,,,a[href],confidence=high | 백마광장 > 장학게시판,unknown_requires_manual_review
ou_3342_univ_001,한국전통문화대학교 장학공지,한국전통문화대학교,http://www.nuch.ac.kr/mec/ots/brd/list.do?mnuBaseId=MNU0000146&topBaseId=MNU0000009&tplSer=2,http://www.nuch.ac.kr,3342,ou_3342,network_error,network_error,0,0,network_error,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=medium | 대학홍보 공지사항,network_dns_or_tls_failure
ou_3436_univ_001,한밭대학교(산업대) 장학공지,한밭대학교(산업대),https://www.hanbat.ac.kr/bbs/BBSMSTR_000000001261/list.do,https://www.hanbat.ac.kr,3436,ou_3436,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=medium | 국립한밭대학교 장학공지,onclick_event_url_required
ou_3437_univ_001,한서대학교 장학공지,한서대학교,https://www.hanseo.ac.kr/boardCnts/list.do?boardID=301&m=040104&s=hs,https://www.hanseo.ac.kr,3437,ou_3437,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | 장학공지,onclick_event_url_required
ou_3509_univ_001,한일장신대학교 장학공지,한일장신대학교,https://www.hanil.ac.kr/portal/default/bbs/list.do?menuId=M0004000100040000,https://www.hanil.ac.kr,3509,ou_3509,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),,a[href],confidence=medium | 장학공지 메뉴,list_selector_mismatch
ou_3518_univ_001,협성대학교 장학공지,협성대학교,https://www.uhs.ac.kr/uhs/155/subview.do,https://www.uhs.ac.kr,3518,ou_3518,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=medium | 협성소식(장학 글 포함),onclick_event_url_required
ou_1618_univ_001,화성의과학대학교 장학공지,화성의과학대학교,https://www.hsmu.ac.kr/user/board/HSMU40102000_list_HSMU40102000.do,https://www.hsmu.ac.kr,1618,ou_1618,network_error,network_error,0,0,network_error,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | 장학공지,network_dns_or_tls_failure
