source_id,university_name,source_name,list_url,base_url,coherent_final_status,coherent_reason_code,current_observed
ou_2285_univ_001,동국대학교(WISE),동국대학교(WISE) 장학공지,https://wise.dongguk.ac.kr/article/servicenotice/list,https://wise.dongguk.ac.kr,partial,partial,5
ou_3518_univ_001,협성대학교,협성대학교 장학공지,https://www.uhs.ac.kr/uhs/155/subview.do,https://www.uhs.ac.kr,partial,partial,2
