source_id,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,enabled,org_unit_id
khu_044,경희대 환경조경디자인학과,https://la.khu.ac.kr/la/user/bbs/BMSR00040/list.do?menuNo=19600015,https://la.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,877
khu_050,경희대 프랑스어학과,https://com.khu.ac.kr/france/user/bbs/BMSR00040/list.do?menuNo=2600010,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,794
khu_051,경희대 스페인어학과,https://com.khu.ac.kr/spanish/user/bbs/BMSR00040/list.do?menuNo=2500012,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,789
khu_052,경희대 러시아어학과,https://com.khu.ac.kr/russia/user/bbs/BMSR00040/list.do?menuNo=2400014,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,788
khu_053,경희대 중국어학과,https://com.khu.ac.kr/zhongwen/user/bbs/BMSR00040/list.do?menuNo=2300011,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,793
khu_054,경희대 일본어학과,https://com.khu.ac.kr/japanese/user/bbs/BMSR00040/list.do?menuNo=2200013,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,792
khu_055,경희대 한국어학과,https://com.khu.ac.kr/korean/user/bbs/BMSR00040/list.do?menuNo=4500009,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,795
khu_056,경희대 영미어문전공,https://com.khu.ac.kr/deptofenglish/user/bbs/BMSR00040/list.do?menuNo=2100013,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,791
khu_057,경희대 영미문화전공,https://com.khu.ac.kr/deptofenglish/user/bbs/BMSR00040/list.do?menuNo=2100013,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,790
khu_062,경희대 우주과학과,https://applsci.khu.ac.kr/space/user/bbs/BMSR00040/list.do?menuNo=2800023,https://applsci.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,842
khu_063,경희대 응용물리학과,https://com.khu.ac.kr/physics/user/bbs/BMSR00040/list.do?menuNo=3000054,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,843
khu_064,경희대 응용수학과,https://com.khu.ac.kr/math/user/bbs/BMSR00040/list.do?menuNo=3100018,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,844
khu_065,경희대 응용화학과,https://com.khu.ac.kr/applchem/user/bbs/BMSR00040/list.do?menuNo=2900027,https://com.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,845
khu_068,경희대 물리학과,https://science.khu.ac.kr/phy/user/bbs/BMSR00050/list.do?menuNo=3800084,https://science.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,819
khu_069,경희대 수학과,https://maths.khu.ac.kr/maths/user/bbs/BMSR00040/list.do?menuNo=600039,https://maths.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,822
khu_070,경희대 화학과,https://science.khu.ac.kr/chem/user/bbs/BMSR00040/list.do?menuNo=3700015,https://science.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,824
khu_071,경희대 생물학과,https://science.khu.ac.kr/biology/user/bbs/BMSR00040/list.do?menuNo=900033,https://science.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,821
