source_id,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,enabled,org_unit_id
ewha_021,이화여대 경제학과,https://econ.ewha.ac.kr/econ/alram/notice.do,https://econ.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,634
ewha_022,이화여대 문헌정보학과,https://elis1959.ewha.ac.kr/elis1959/alram/department.do,https://elis1959.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,635
ewha_023,이화여대 사회복지학과,https://sw.ewha.ac.kr/sw/board/notice.do,https://sw.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,636
ewha_024,이화여대 사회학과,https://sociology.ewha.ac.kr/socio30/notice/under-notice.do,https://sociology.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,637
ewha_025,이화여대 소비자학과,https://consume.ewha.ac.kr/consume/board/notice.do,https://consume.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,638
ewha_026,이화여대 심리학과,https://psych.ewha.ac.kr/psych/board/notice-under.do,https://psych.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,639
ewha_027,이화여대 정치외교학과,https://politics.ewha.ac.kr/politics/notice/under-notice.do,https://politics.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,640
ewha_028,이화여대 커뮤니케이션·미디어학부,https://cms.ewha.ac.kr/user/indexSub.action?codyMenuSeq=2527593&menuUIType=top&siteId=masscomm,https://cms.ewha.ac.kr,tbody tr,a[href],a[href],td:nth-child(4),,,boardSeq=\d+,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,641
ewha_029,이화여대 행정학과,https://pubweb.ewha.ac.kr/pubweb/board/notice.do,https://pubweb.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,642
ewha_030,이화여대 스크랜튼대학,https://scrantoncollege.ewha.ac.kr/scranton/notice-board/notice.do,https://scrantoncollege.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,122
ewha_031,이화여대 국제사무학과,https://ioa.ewha.ac.kr/ioa/board/notice.do,https://ioa.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,657
ewha_032,이화여대 식품영양학과,https://nsfm.ewha.ac.kr/nsfm/community/notice.do,https://nsfm.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,658
ewha_033,이화여대 융합보건학과,https://publichealth.ewha.ac.kr/publichealth/board/notice.do,https://publichealth.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,659
ewha_034,이화여대 융합콘텐츠학과,https://cc.ewha.ac.kr/cc/board/notice.do,https://cc.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,660
ewha_035,이화여대 의류산업학과,https://fashion.ewha.ac.kr/fashion/board/notice.do,https://fashion.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,661
ewha_036,이화여대 체육과학부,https://sports.ewha.ac.kr/sportsstudies/board/notice.do,https://sports.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,662
ewha_037,이화여대 약학대학,https://pharm21.ewha.ac.kr/pharm21/notice-board/notice.do,https://pharm21.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,121
