source_id,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,enabled
cau_030,중앙대 정치국제학과,https://politics.cau.ac.kr/07_comm/comm_08a.php,https://politics.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_031,중앙대 동물생명공학전공,https://cobiotech.cau.ac.kr/animal/dm/dm-1.php,https://cobiotech.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_032,중앙대 시스템생명공학과,https://cobiotech.cau.ac.kr/system/dm/dm-1.php,https://cobiotech.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_033,중앙대 식물생명공학전공,https://cobiotech.cau.ac.kr/plant/dm/dm-1.php,https://cobiotech.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_034,중앙대 식품공학전공,https://cobiotech.cau.ac.kr/foodtech/dm/dm-1.php,https://cobiotech.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_035,중앙대 식품영양학전공,https://cobiotech.cau.ac.kr/foodnutri/dm/dm-1.php,https://cobiotech.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_036,중앙대 AI학과,https://ai.cau.ac.kr/sub07/sub0701.php?category=1&view=list,https://ai.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_037,중앙대 소프트웨어학부,https://cse.cau.ac.kr/sub05/sub0501.php,https://cse.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_038,중앙대 약학전공,https://pharm.cau.ac.kr/fm/fm-2-1.php,https://pharm.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_039,중앙대 제약학전공,https://pharm.cau.ac.kr/fm/fm-2-1.php,https://pharm.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_040,중앙대 예술공학부,https://artech.cau.ac.kr/news,https://artech.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_041,중앙대 TV방송연예전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp?type=%EC%9E%A5%ED%95%99,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_042,중앙대 게임콘텐츠·애니메이션전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_043,중앙대 공간연출전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_044,중앙대 공예전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_045,중앙대 관현악전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
