source_id,university_slug,university_id,college_id,department_id,org_unit_id,college_name,department_name,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled
yonsei_013,yonsei,3,43,82,294,경영대학,경영학과,department,연세대 경영학과,https://ysb.yonsei.ac.kr/board.asp?mid=m06_01,https://ysb.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_014,yonsei,3,48,108,320,신과대학,신학과,department,연세대 신학과,https://yonshin.yonsei.ac.kr/theology/board02/undergraduate.do,https://yonshin.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_015,yonsei,3,49,109,325,사회과학대학,정치외교학과,department,연세대 정치외교학과,https://politics.yonsei.ac.kr/board.asp?catalogid=politics&language=ko&boardcode=com01,https://politics.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_016,yonsei,3,49,110,323,사회과학대학,사회학과,department,연세대 사회학과,https://sociology.yonsei.ac.kr/elementor-2080/,https://sociology.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_017,yonsei,3,49,111,326,사회과학대학,행정학과,department,연세대 행정학과,https://yupa.yonsei.ac.kr/yupa/notice/undergraduate.do,https://yupa.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_018,yonsei,3,49,112,321,사회과학대학,문화인류학과,department,연세대 문화인류학과,https://urban.yonsei.ac.kr/anthro/board/board.do,https://urban.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_019,yonsei,3,49,113,322,사회과학대학,사회복지학과,department,연세대 사회복지학과,https://devcms.yonsei.ac.kr/welfare/board/notice.do,https://devcms.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_020,yonsei,3,49,114,324,사회과학대학,언론홍보영상학부,department,연세대 언론홍보영상학부,https://comm.yonsei.ac.kr/notice.html,https://comm.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_021,yonsei,3,44,83,297,이과대학,수학과,department,연세대 수학과,https://math.yonsei.ac.kr/math/math/notice.do,https://math.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_022,yonsei,3,44,84,296,이과대학,물리학과,department,연세대 물리학과,https://physicsyonsei.kr/notice/board,https://physicsyonsei.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_023,yonsei,3,44,85,300,이과대학,화학과,department,연세대 화학과,https://chemyonsei.kr/board/notice,https://chemyonsei.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_024,yonsei,3,44,86,298,이과대학,지구시스템과학과,department,연세대 지구시스템과학과,https://geo.yonsei.ac.kr/index.php?hCode=BOARD&bo_idx=2,https://geo.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_025,yonsei,3,44,87,299,이과대학,천문우주학과,department,연세대 천문우주학과,https://astro.yonsei.ac.kr/galaxy/galaxy01/notice.do,https://astro.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_026,yonsei,3,44,88,295,이과대학,대기과학과,department,연세대 대기과학과,https://atmos.yonsei.ac.kr/categories/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/,https://atmos.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_027,yonsei,3,45,89,310,공과대학,화공생명공학부,department,연세대 화공생명공학부,https://chemeng.yonsei.ac.kr/?c=211,https://chemeng.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_028,yonsei,3,45,90,305,공과대학,사회환경시스템공학부,department,연세대 건설환경공학부,https://civil.yonsei.ac.kr/civil/community/board_2.do,https://civil.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_029,yonsei,3,45,91,309,공과대학,전기전자공학부,department,연세대 전기전자공학부,https://ee.yonsei.ac.kr/ee/community/academic_notice.do,https://ee.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_030,yonsei,3,45,92,302,공과대학,기계공학부,department,연세대 기계공학부,https://me.yonsei.ac.kr/me/community/notice4.do,https://me.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_031,yonsei,3,45,93,301,공과대학,건축공학과,department,연세대 건축공학과,https://arch.yonsei.ac.kr/notice,https://arch.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_032,yonsei,3,45,94,308,공과대학,신소재공학부,department,연세대 신소재공학부,https://mse.yonsei.ac.kr/board/board.php?bo_table=notice,https://mse.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
